 Quarter , Client , New Client , Campaign , Channel , Client + Campaign + Channel , Campaign Budget , KPI Goal , KPI Type , KPI Target Value , CPM ,Impressions, Planned Campaign Reach , Maximum Reach to Maintain Performance , % of Maximum Campaign Reach Expected to Be Utilized , Signal Utilization (to total signals available) , Frequency , Last Updated , Note ,Enterprise?, Acct_ID ,COMMENTS, CLIENT_CODE , SUBACCOUNT , CAMPAIGN_TYPE , REMARKS 
Q2 2026,Bread Caesars(Li Exclusive),Bread,Caesars,LiveIntent,Bread Caesars LiveIntent," $1,12,500 ",CPIA$263,CPIx,$263, $4.00 ,28125000," 93,75,000 "," 2,67,85,714 ",,35%, 4 ,20-05-2026,,,19,,BREADFINANCIAL,CAESARS,EMAIL,
Q2 2026,Bread Dell Pay,Bread,Dell Play,Email,Bread Dell Play Email," $1,00,000 ",CPIA $152,CPIx,$152, $7.50 ,13333333.33," 44,44,444 "," 1,26,98,413 ",,35%, 3 ,20-05-2026,,Enterprise,12079,,BREADFINANCIAL,DELLPAY,EMAIL,
Q2 2026,Bread IKEA ,Bread,IKEA,Email,Bread IKEA Email," $82,571 ",CPIA $97,CPIx,$97, $7.50 ,11009466.67," 36,69,822 "," 36,69,822 ",,100%, 3 ,20-05-2026,,,11369,,BREADFINANCIAL,IKEA,EMAIL,
Q2 2026,Bread Jared ,Bread,Jared,Email,Bread Jared Email," $5,49,000 ",CPIA $203,CPIx,$203, $7.50 ,73200000,"2,44,00,000","2,44,00,000", ,100%, 3 ,20-05-2026,,Enterprise,8491,,BREADFINANCIAL,JARED,EMAIL,
Q2 2026,Bread Jared (Li Exclusive),Bread,Jared,LiveIntent,Bread Jared LiveIntent," $2,76,000 ",CPIA $203,CPIx,$203, $4.00 ,69000000," 98,57,143 ",9857143,,100%, 7 ,03-06-2026,,,8491,,BREADFINANCIAL,JARED,LI,
Q2 2026,Bread Kay (Li Exclusive),Bread,KAY,LiveIntent,Bread KAY LiveIntent," $3,22,750 ",CPIA$151,CPIx,$151, $4.00 ,80687500,"1,43,44,444","1,43,00,000", ,100%, 3 ,20-05-2026,,,8392,,BREADFINANCIAL,KAY,LI,
Q2 2026,Bread Kay (Store radius used),Bread,KAY,Email,Bread KAY Email," $9,06,000 ",CPIA $151,CPIx,$151, $7.50 ,120800000,"4,02,66,667"," 4,02,66,667 ", ,100%, 3 ,20-05-2026,,Enterprise,8392,,BREADFINANCIAL,KAY,EMAIL,
Q2 2026,Bread Sephora CBCC,Bread,Sephors CBCC,Email,Bread Sephors CBCC Email," $94,500 ",CPIA $142,CPIx,$142, $7.50 ,12600000," 42,00,000 "," 84,00,000 ",,50%, 3 ,20-05-2026,,Enterprise,11796,,BREADFINANCIAL,SEPHORA_CBCC,EMAIL,
Q2 2026,Bread Sephora PLCC,Bread,Sephora PLCC,Email,Bread Sephora PLCC Email," $31,500 ",CPIA $47,CPIx,$47, $7.50 ,4200000," 14,00,000 "," 35,00,000 ",,40%, 3 ,20-05-2026,,Enterprise,11796,,BREADFINANCIAL,SEPHORA_PLCC,EMAIL,
Q2 2026,Bread Ulta,Bread,Ulta,Email,Bread Ulta Email," $2,75,000 ",CPIA $81,CPIx,$81, $7.50 ,36666666.67,"1,22,22,222"," 1,52,77,778 ", ,80%, 3 ,20-05-2026,,Enterprise,17,,BREADFINANCIAL,ULTA,EMAIL,
Q2 2026,Bread Zales ,Bread,Zales,Email,Bread Zales Email," $90,000 ",CPIA $158,CPIx,$158, $7.50 ,12000000,"40,00,000"," 72,72,727 ", ,55%, 3 ,20-05-2026,,Enterprise,8393,,BREADFINANCIAL,ZALES,EMAIL,
Q2 2026 ,Casper,Casper,,Email,Casper Email," $8,75,000 ",iROAS $5,iROAS,$5, $8.00 ,109375000," 2,91,66,666 "," 2,91,66,666 ",,100%, 4 ,20-05-2026,,,7210,,CASPER,CORE,EMAIL,
Q2 2026,Chairking,Chairking,,Email,Chairking Email," $2,20,000 ",iROAS $5,iROAS,$5, $10.00 ,22000000," 73,33,333 "," 2,09,52,381 ",,35%, 3 ,20-05-2026,,,10631,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,Citizen,Citizen,,LiveIntent,Citizen LiveIntent," $1,00,000 ",CPIA $300,CPIx,$300, $8.00 ,20000000,"33,33,333",3333333,,100%, 6 ,03-06-2026,,,,,CITIZENSBANK,NA,,2: MANUAL ACCOUNTS
Q2 2026,Citizen BAU,Citizen,BAU,Email,Citizen BAU Email," $9,28,125 ",CPIA $300,CPIx,$300, $8.00 ,116015625," 1,93,35,938 "," 1,93,35,938 ",,100%, 6 ,03-06-2026,,,8996,,CITIZENSBANK,BAU,EMAIL,
Q2 2026,Citizen EP,Citizen,Established Professonals,Email,Citizen Established Professonals Email," $1,00,000 ",CPIA $300,CPIx,$300, $8.00 ,12500000,"20,83,333",2083333,,100%,,03-06-2026,,,,,CITIZENSBANK,EP,EMAIL,
Q2 2026,Citizen HNW (geo restricted),Citizen,High Net Worth,Email,Citizen High Net Worth Email," $9,28,125 ",CPIA $300,CPIx,$300, $8.00 ,116015625,,,,, 6 ,20-05-2026,,,8996,Given in Citizens BAU campaign,CITIZENSBANK,HNW,EMAIL,
Q2 2026,Citizen New Mover,Citizen,New Mover,Email,Citizen New Mover Email," $9,28,125 ",CPIA $300,CPIx,$300, $8.00 ,116015625,,,,, 6 ,20-05-2026,,,8996,Given in Citizens BAU campaign,CITIZENSBANK,NEWMOVER,EMAIL,
Q2 2026,Comcast,Comcast,,Email+LI,Comcast Email+LI," $5,00,000 ",CPIC$500,CPIx,$500, $8.58 ,52500000,5250000,12000000,,50%, 10 ,03-06-2026,,,12909,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,DirecTV DishTV Conquest,DirectTV,DishTV Conquest,Email,DirectTV DishTV Conquest Email," $50,000 ",,CPGx,, $10.00 ,"60,00,000"," 2,68,95,833 "," 2,68,95,833 ",,100%, 3 ,20-05-2026,,,11371,,DIRECTV,DISHTV_CONQUEST,EMAIL,
Q2 2026,DirecTV Genre,DirectTV,Genre,Email,DirectTV Genre Email," 	$                           4,62,000 ",CPIA $65,CPIx,$65, $10.00 ,"4,62,00,000"," 1,54,00,000 "," 2,56,66,667 ", ,60%, 3 ,20-05-2026,,,11371,,DIRECTV,GENRE,EMAIL,
Q2 2026,DirecTV MyFree to Paid,DirectTV,MyFree to Paid,Email,DirectTV MyFree to Paid Email," $50,000 ",CPGA $27,CPGx,$27, $10.00 ,"50,00,000",2377679,2377679,,100%, 2 ,03-06-2026,,,11371,,DIRECTV,FFP,EMAIL,
Q2 2026,DirecTV Signature,DirectTV,Signature,Email,DirectTV Signature Email," $                           15,86,727 ",CPIA $250,CPIx,$250, $10.00 ,"	15,86,72,700"," 5,28,90,900 "," 5,60,00,000 ", ,80%, 3 ,20-05-2026,,,11371,,DIRECTV,SIGNATURE,EMAIL,
Q2 2026,DirecTV Winback,DirectTV,Winback,Email,DirectTV Winback Email," $50,000 ",CPIA $200,CPIx,$200, $10.00 ,"50,00,000",970509,970509,,100%, 5 ,03-06-2026,,,11371,,DIRECTV,NA,,2: MANUAL ACCOUNTS
Q2 2026,Discount Tire,Discount Tire, Core,Email,Discount Tire  Core Email," $37,50,000 ",iROAS $7,iROAS,$7, $10.00 ," 3,75,00,000 "," 1,42,04,545 "," 2,80,00,000 ",,50%, 3 ,03-06-2026,,,10025,,DISCOUNT_TIRE,CORE,EMAIL,
